Description,Unnamed: 1,Security,Ticker,Position (Shares),Pos Change,% Outstanding,% NAV,Market Value,Market Value Change,Filing Date,Country/Region,Sector,Subsector,Asset Type,Security Type,Security Subtype,Maturity,Duration,Coupon,Cosine Similarity
"NextEra Energy , Inc. , subsidiaries , generates , transmits , distributes , sells electric power retail wholesale customers North America . company generates electricity wind , solar , nuclear , coal , natural gas facilities . also develops , constructs , operates long-term contracted assets consists clean energy solutions , renewable generation facilities , battery storage projects , electric transmission facilities ; sells energy commodities ; owns , develops , constructs , manages operates electric generation facilities wholesale energy markets . December 31 , 2022 , company approximately 32,100 megawatts net generating capacity ; approximately 88,000 circuit miles transmission distribution lines ; 871 substations . serves approximately 12 million people approximately 5.8 million customer accounts east lower west coasts Florida . company formerly known FPL Group , Inc. changed name NextEra Energy , Inc. 2010 . NextEra Energy , Inc. founded 1925 headquartered Juno Beach , Florida .",,NextEra Energy Inc,NEE US,"4,062,635",549,0.2,0.82,243.39MLN,"32,890.59",11/2/2023,United States,Utilities,Utilities,Equity,Common Stock,Common Stock,--,--,--,0.1805630922317505
"Eli Lilly Company discovers , develops , markets human pharmaceuticals worldwide . offers Basaglar , Humalog , Humalog Mix 75/25 , Humalog U-100 , Humalog U-200 , Humalog Mix 50/50 , insulin lispro , insulin lispro protamine , insulin lispro mix 75/25 , Humulin , Humulin 70/30 , Humulin N , Humulin R , Humulin U-500 diabetes ; Jardiance , Trajenta , Trulicity type 2 diabetes . company provides Alimta non-small cell lung cancer ( NSCLC ) malignant pleural mesothelioma ; Cyramza metastatic gastric cancer , gastro-esophageal junction adenocarcinoma , metastatic NSCLC , metastatic colorectal cancer , hepatocellular carcinoma ; Erbitux colorectal cancers , various head neck cancers ; Retevmo metastatic NSCLC , medullary thyroid cancer , thyroid cancer ; Tyvyt relapsed refractory classic Hodgkin 's lymph non-squamous NSCLC ; Verzenio HR+ , HER2- metastatic breast cancer , node positive , early breast cancer . offers Olumiant rheumatoid arthritis ; Taltz plaque psoriasis , psoriatic arthritis , ankylosing spondylitis , non-radiographic axial spondylarthritis . company offers Cymbalta depressive disorder , diabetic peripheral neuropathic pain , generalized anxiety disorder , fibromyalgia , chronic musculoskeletal pain ; Emgality migraine prevention episodic cluster headache ; Zyprexa schizophrenia , bipolar disorder , bipolar maintenance . Bamlanivimab etesevimab , Bebtelovimab COVID-19 ; Cialis erectile dysfunction benign prostatic hyperplasia ; Forteo osteoporosis . company collaborations Incyte Corporation ; Boehringer Ingelheim Pharmaceuticals , Inc. ; AbCellera Biologics Inc. ; Junshi Biosciences ; Regor Therapeutics Group ; Lycia Therapeutics , Inc. ; Kumquat Biosciences Inc. ; Entos Pharmaceuticals Inc. ; Foghorn Therapeutics Inc. Eli Lilly Company founded 1876 headquartered Indianapolis , Indiana .",,Eli Lilly & Co,LLY US,"635,950",87,0.07,1.25,369.04MLN,"50,485.23",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--,0.1804874837398529
"Autodesk , Inc. provides 3D design , engineering , entertainment technology solutions worldwide . company offers AutoCAD Civil 3D , surveying , design , analysis , documentation solution civil engineering , including land development , transportation , environmental projects ; BuildingConnected , SaaS preconstruction solution ; AutoCAD , software professional design , drafting , detailing , visualization ; AutoCAD LT , drafting detailing software ; computer-aided manufacturing ( CAM ) software computer numeric control machining , inspection , modelling manufacturing ; Fusion 360 , 3D CAD , CAM , computer-aided engineering tool ; Industry Collections tools professionals architecture , engineering construction , product design manufacturing , media entertainment collection industries . also provides Inventor tools 3D mechanical design , simulation , analysis , tooling , visualization , documentation ; Vault , data management software manage data one central location , accelerate design processes , streamline internal/external collaboration ; Maya 3ds Max software products offer 3D modeling , animation , effects , rendering , compositing solutions ; ShotGrid , cloud-based software review production tracking media entertainment industry . sells products services customers directly , well network resellers distributors . Autodesk , Inc. incorporated 1982 headquartered San Francisco , California .",,Autodesk Inc,ADSK US,"120,786",15,0.06,0.08,24.07MLN,"2,988.60",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--,0.1791590005159378
"Travelers Companies , Inc. , subsidiaries , provides range commercial personal property , casualty insurance products services businesses , government units , associations , individuals United States internationally . operates three segments : Business Insurance , Bond & Specialty Insurance , Personal Insurance . Business Insurance segment offers workers ' compensation , commercial automobile property , general liability , commercial multi-peril , employers ' liability , public product liability , professional indemnity , marine , aviation , onshore offshore energy , construction , terrorism , personal accident , kidnap ransom insurance products . segment operates select accounts , serve small businesses ; commercial accounts serve mid-sized businesses ; national accounts , serve large companies ; national property serve large mid-sized customers , commercial trucking industry , agricultural businesses , well markets distributes products brokers , wholesale agents , program managers . Bond & Specialty Insurance segment provides surety , fidelity , management professional liability , property casualty coverages related risk management services independent agencies brokers . Personal Insurance segment offers property casualty insurance covering personal risks , primarily automobile homeowners ' insurance individuals independent agencies brokers . Travelers Companies , Inc. founded 1853 based New York , New York .",,Travelers Cos Inc/The,TRV US,"2,066,393",279,0.9,1.18,349.12MLN,"47,137.05",11/2/2023,United States,Financials,Insurance,Equity,Common Stock,Common Stock,--,--,--,0.17805702984333038
"NXP Semiconductors N.V. offers various semiconductor products . company 's product portfolio includes microcontrollers ; application processors , including i.MX application processors , i.MX 8 9 family applications processors ; communication processors ; wireless connectivity solutions , near field communications , ultra-wideband , Bluetooth low-energy , Zigbee , Wi-Fi Wi-Fi/Bluetooth integrated SoCs ; analog interface devices ; radio frequency power amplifiers ; security controllers , well semiconductor-based environmental inertial sensors , including pressure , inertial , magnetic , gyroscopic sensors . company 's products used various applications , including automotive , industrial Internet Things , mobile , communication infrastructure . company markets products various original equipment manufacturers , contract manufacturers , distributors . operates China , Netherlands , United States , Singapore , Germany , Japan , South Korea , Taiwan , internationally . company formerly known KASLION Acquisition B.V changed name NXP Semiconductors N.V. May 2010 . NXP Semiconductors N.V. incorporated 2006 headquartered Eindhoven , Netherlands",,NXP Semiconductors NV,NXPI US,"1,891,065",255,0.73,1.13,335.83MLN,"45,285.45",11/2/2023,Netherlands,Technology,Tech Hardware & Semiconductors,Equity,Common Stock,Common Stock,--,--,--,0.17801223695278168
"Comcast Corporation operates media technology company worldwide . operates Residential Connectivity & Platforms , Business Services Connectivity , Media , Studios , Theme Parks segments . Residential Connectivity & Platforms segment provides residential broadband wireless connectivity services , residential business video services , advertising sales , Sky channels . Business Services Connectivity segment offers connectivity services small business locations , include broadband , voice , wireless services , well solutions medium-sized customers larger enterprises ; small business connectivity services international locations . Media segment operates NBCUniversal 's television streaming business , including national regional cable networks ; NBC Telemundo broadcast networks ; NBC Telemundo owned local broadcast television stations ; Peacock , direct-to-consumer streaming service . also operates international networks comprising Sky Sports channels , well digital properties . Studios segment operates NBCUniversal Sky film television studio production distribution operations . Theme Parks segment operates Universal theme parks Orlando , Florida ; Hollywood , California ; Osaka , Japan ; Beijing , China . company also owns Philadelphia Flyers Wells Fargo Center arena Philadelphia , Pennsylvania ; operates Xumo , consolidated streaming platform . Comcast Corporation founded 1963 headquartered Philadelphia , Pennsylvania .",,Comcast Corp Class A,CMCSA US,"9,794,849","1,326",0.24,1.41,416.28MLN,"56,355",11/2/2023,United States,Communications,Media,Equity,Common Stock,Common Stock,--,--,--,0.1776123195886612
"Fund seeks high current income liquidity stability principal . Fund invests exclusively high-quality , short-term securities issued guaranteed U.S. government U.S. government agencies instrumentalities . Fund designed temporary medium-term cash investments , seasonal operating cash , automated cash sweeps , liquidity components investment portfolios . Fund aims preserve capital , maintain liquidity , produce competitive yield .",,JPMorgan US Government Money Market Fund Class IM USD,MGMXX US,"384,575,248",12750000,0.15,1.3,384.58MLN,12750000,11/2/2023,United States,Sector Not Available,Sector Not Available,Equity,Open-End Fund,Mutual Fund,--,--,--,0.1774630844593048
"UDR , Inc. ( NYSE : UDR ) , & P 500 company , leading multifamily real estate investment trust demonstrated performance history delivering superior dependable returns successfully managing , buying , selling , developing redeveloping attractive real estate communities targeted U.S. markets . September 30 , 2023 , UDR owned ownership position 60,177 apartment homes including 415 homes development . 51 years , UDR delivered long-term value shareholders , best standard service Residents highest quality experience Associates .",,UDR Inc,UDR US,"1,967,962",267,0.6,0.21,63.49MLN,"8,613.42",11/2/2023,United States,Real Estate,Real Estate,Equity,REIT,REIT,--,--,--,0.1774454116821289
"American Express Company , together subsidiaries , provides charge credit payment card products , travel-related services worldwide . company operates three segments : Global Consumer Services Group , Global Commercial Services , Global Merchant Network Services . products services include payment financing products ; network services ; accounts payable expense management products services ; travel lifestyle services . company 's products services also comprise merchant acquisition processing , servicing settlement , point-of-sale marketing , information products services merchants ; fraud prevention services , well design operation customer loyalty programs . sells products services consumers , small businesses , mid-sized companies , large corporations mobile online applications , third-party vendors business partners , direct mail , telephone , in-house sales teams , direct response advertising . American Express Company founded 1850 headquartered New York , New York .",,American Express Co,AXP US,"1,025,184",138,0.14,0.52,154.65MLN,"20,817.30",11/2/2023,United States,Financials,Financial Services,Equity,Common Stock,Common Stock,--,--,--,0.1768558770418167
"Texas Instruments Incorporated designs , manufactures , sells semiconductors electronics designers manufacturers United States internationally . operates two segments , Analog Embedded Processing . Analog segment offers power products manage power requirements across various voltage levels , including battery-management solutions , DC/DC switching regulators , AC/DC isolated controllers converters , power switches , linear regulators , voltage references , lighting products . segment also provides signal chain products sense , condition , measure signals allow information transferred converted processing control , including amplifiers , data converters , interface products , motor drives , clocks , logic sensing products . Embedded Processing segment offers microcontrollers used electronic equipment ; digital signal processors mathematical computations ; applications processors specific computing activity . segment offers products use various markets , industrial , automotive , personal electronics , communications equipment , enterprise systems , calculators . company also provides DLP products primarily use project high-definition images ; calculators ; application-specific integrated circuits . markets sells semiconductor products direct sales distributors , well website . Texas Instruments Incorporated founded 1930 headquartered Dallas , Texas .",,Texas Instruments Inc,TXN US,"2,231,327",303,0.25,1.11,328.70MLN,"44,634.93",11/2/2023,United States,Technology,Tech Hardware & Semiconductors,Equity,Common Stock,Common Stock,--,--,--,0.1762406826019287
"Becton , Dickinson Company develops , manufactures , sells medical supplies , devices , laboratory equipment , diagnostic products healthcare institutions , physicians , life science researchers , clinical laboratories , pharmaceutical industry , general public worldwide . company 's BD Medical segment provides peripheral intravenous ( IV ) advanced peripheral catheters , central lines , acute dialysis catheters , vascular care preparation products , needle-free IV connectors extensions sets , closed-system drug transfer devices , hazardous drug detections , hypodermic syringes needles , anesthesia needles trays , enteral syringes , sharps disposal systems ; IV medication infusion therapy delivery systems , medication compounding workflow systems , automated medication dispensing supply management systems , medication inventory optimization tracking systems ; syringes , pen needles , products diabetes ; prefillable drug delivery systems . BD Life Sciences segment offers specimen blood collection products ; automated blood tuberculosis culturing , molecular testing , microorganism identification drug susceptibility , liquid-based cytology systems , well rapid diagnostic assays , microbiology laboratory automation products , plated media products ; fluorescence-activated cell sorters analyzers , antibodies kits , reagent systems , solutions single-cell gene expression analysis , well clinical oncology , immunological , transplantation diagnostic/monitoring reagents analyzers . company 's BD Interventional segment provides hernia soft tissue repair , biological bioresorbable grafts , biosurgery , surgical products ; surgical infection prevention , surgical laparoscopic instrumentation products ; peripheral intervention products ; urology critical care products . company founded 1897 based Franklin Lakes , New Jersey .",,Becton Dickinson & Co,BDX US,"388,068",51,0.13,0.34,99.31MLN,"13,051.92",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--,0.17602860927581787
"& P Global Inc. , together subsidiaries , provides credit ratings , benchmarks , analytics , workflow solutions global capital , commodity , automotive markets . operates six segments : & P Global Ratings , & P Dow Jones Indices , & P Global Commodity Insights , & P Global Market Intelligence , & P Global Mobility , & P Global Engineering Solutions . & P Global Ratings segment operates independent provider credit ratings , research , analytics , offering investors market participants information , ratings , benchmarks . & P Dow Jones Indices segment index provider maintains various valuation index benchmarks investment advisors , wealth managers , institutional investors . & P Global Commodity Insights segment provides information benchmark prices commodity energy markets . & P Global Market Intelligence segment offers multi-asset-class data analytics integrated purpose-built workflow solutions . segment offers Desktop , product suite provides data , analytics , third-party research ; Data Advisory Solutions research , reference data , market data , derived analytics , valuation services ; Enterprise Solutions , software workflow solutions ; Credit & Risk Solutions selling Ratings ' credit ratings related data research . & P Global Mobility segment provides solutions serving full automotive value chain , including vehicle manufacturers ( OEMs ) , automotive suppliers , mobility service providers , retailers , consumers , finance insurance companies . & P Global Engineering Solutions segment offers engineering standards related technical knowledge , including product design provide information insight design products , optimize engineering projects outcomes , solve technical problems , address complex supply chain issues . & P Global Inc. founded 1860 headquartered New York , New York .",,S&P Global Inc,SPGI US,"515,156",69,0.16,0.65,193.66MLN,"25,938.48",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--,0.17574669420719147
"Old Dominion Freight Line , Inc. operates less-than-truckload ( LTL ) motor carrier United States North America . provides regional , inter-regional , national LTL services , including expedited transportation . company also offers various value-added services , container drayage , truckload brokerage , supply chain consulting . December 31 , 2022 , owned operated 11,274 tractors , 31,252 linehaul trailers , 14,315 pickup delivery trailers ; 44 fleet maintenance centers ; 255 service centers . Old Dominion Freight Line , Inc. founded 1934 headquartered Thomasville , North Carolina .",,Old Dominion Freight Line Inc,ODFL US,"670,091",90,0.61,0.88,260.55MLN,"34,994.70",11/2/2023,United States,Industrials,Industrial Services,Equity,Common Stock,Common Stock,--,--,--,0.1748276799917221
"Charter Communications , Inc. operates broadband connectivity cable operator company serving residential commercial customers United States . company offers subscription-based internet , video , mobile voice services ; suite broadband connectivity services , including fixed internet , WiFi , mobile ; security suite protects computers viruses spyware , threats malicious actors ; in-home WiFi , provides customers high performance wireless routers managed WiFi services enhance fixed wireless internet experience ; out-of-home WiFi ; Spectrum WiFi services . company also offers voice communications services using voice internet protocol technology ; broadband communications solutions , internet access , data networking , fiber connectivity , video entertainment , business telephone services cellular towers office buildings business carrier organizations . addition , provides mobile services ; video programming , static IP business WiFi , e-mail security services ; sells local advertising across various platforms networks , TBS , CNN , ESPN ; sells advertising inventory local sports news channels ; offers Audience App create data-driven linear TV campaigns local advertisers . , company offers communications products managed service solutions ; data connectivity services mobile wireline carriers wholesale basis ; owns operates regional sports news networks . serves approximately 32 million customers 41 states . company founded 1993 headquartered Stamford , Connecticut .",,Charter Communications Inc Class A,CHTR US,"207,113",27,0.14,0.29,85.46MLN,"11,140.74",11/2/2023,United States,Communications,Media,Equity,Common Stock,Common Stock,--,--,--,0.17471228539943695
"W.W. Grainger , Inc. distributes maintenance , repair , operating products services United States , Japan , Canada , United Kingdom , internationally . company operates two segments , High-Touch Solutions N.A . Endless Assortment . company provides safety security supplies , material handling storage equipment , pumps plumbing equipment , cleaning maintenance supplies , metalworking hand tools . also offers technical support inventory management services . company serves businesses , corporations , government entities , institutions sales service representatives , electronic ecommerce channels . W.W. Grainger , Inc. founded 1927 headquartered Lake Forest , Illinois .",,WW Grainger Inc,GWW US,"6,592","2,637",0.01,0.02,4.99MLN,1990000,11/2/2023,United States,Industrials,Industrial Services,Equity,Common Stock,Common Stock,--,--,--,0.1735123246908188
"Synopsys , Inc. provides electronic design automation software products used design test integrated circuits . company offers Digital Custom IC Design solution provides digital design implementation solutions ; Verification solution offers virtual prototyping , static formal verification , simulation , emulation , field programmable gate array ( FPGA ) -based prototyping , debug solutions ; FPGA design products programmed perform specific functions . also provides intellectual property ( IP ) solutions USB , PCI Express , DDR , Ethernet , MIPI , HDMI , Bluetooth low energy applications ; logic libraries embedded memories ; processor cores , software , application-specific instruction-set processor tools embedded applications ; security IP solutions ; IP solutions automotive market ; system-on-chip ( SoC ) infrastructure IP , datapath building block IP , verification IP products , well mathematical floating-point components , Arm AMBA interconnect fabric peripherals . addition , company offers HAPS FPGA-based prototyping systems ; virtual prototyping solutions ; Platform Architect solutions SoC architecture analysis optimization , well series tools used design optical systems photonic devices . , provides security testing , managed services , programs professional services , training enable customers detect remediate security vulnerabilities , defects software development lifecycle , well manufacturing solutions . company serves electronics , financial services , automotive , medicine , energy , industrial areas . strategic partnership Intel Corporation develop EDA IP solutions . Synopsys , Inc. incorporated 1986 headquartered Mountain View , California .",,Synopsys Inc,SNPS US,"275,239",36,0.18,0.44,131.74MLN,"17,231.04",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--,0.17323747277259827
"Cadence Design Systems , Inc. provides software , hardware , services , reusable integrated circuit ( IC ) design blocks worldwide . company offers functional verification services , including emulation prototyping hardware . functional verification offering consists JasperGold , formal verification platform ; Xcelium , parallel logic simulation platform ; Palladium , enterprise emulation platform ; Protium , prototyping platform chip verification . company also provides digital IC design sign products , including Genus logic synthesis Joules RTL power solutions , well Modus software solution reduce systems-on-chip design-for-test time ; physical implementation tools , place route , optimization , multiple patterning preparation ; Innovus implementation system , physical implementation system . addition , offers custom IC design simulation products create schematic physical representations circuits transistor level analog , mixed-signal , custom digital , memory , radio frequency designs ; system design analysis products develop printed circuit boards IC packages , well analyze electromagnetic , electro-thermal , multi-physics effects . , company provides intellectual property ( IP ) products comprising pre-verified customizable functional blocks integrate customer 's ICs ; verification IP memory models emulate model expected behavior interaction standard industry system interface protocols . Additionally , offers services related methodology , education , hosted design solutions , well technical support maintenance services . company serves 5G communications , aerospace defense , automotive , industrial healthcare , mobile , consumer , hyperscale computing markets . Cadence Design Systems , Inc. incorporated 1987 headquartered San Jose , California .",,Cadence Design Systems Inc,CDNS US,"577,491",78,0.21,0.48,141.19MLN,"19,069.44",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--,0.17255951464176178
"FedEx Corporation provides transportation , e-commerce , business services United States internationally . operates FedEx Express , FedEx Ground , FedEx Freight , FedEx Services segments . FedEx Express segment offers express transportation , small-package ground delivery , freight transportation services ; time-critical transportation services . FedEx Ground segment provides small-package ground delivery services . FedEx Freight segment offers less-than-truckload freight transportation services . FedEx Services segment provides sales , marketing , information technology , communications , customer service , technical support , billing collection , back-office support services . addition , company offers supply chain management solutions ; air ocean cargo transportation , specialty transportation , customs brokerage , trade management tools data . company founded 1971 headquartered Memphis , Tennessee .",,FedEx Corp,FDX US,"482,638",66,0.19,0.4,119.33MLN,"16,318.50",11/2/2023,United States,Industrials,Industrial Services,Equity,Common Stock,Common Stock,--,--,--,0.17251181602478027
"Analog Devices , Inc. designs , manufactures , tests , markets integrated circuits ( ICs ) , software , subsystems leverage analog , mixed-signal , digital signal processing technologies . company provides data converter products , translate real-world analog signals digital data , well translates digital data analog signals ; power management reference products power conversion , driver monitoring , sequencing , energy management applications automotive , communications , industrial , high-end consumer markets ; power ICs include performance , integration , software design simulation tools accurate power supply designs . also offers high-performance amplifiers condition analog signals ; radio frequency microwave ICs support cellular infrastructure ; micro-electro-mechanical systems technology solutions , including accelerometers used sense acceleration , gyroscopes sense rotation , inertial measurement units sense multiple degrees freedom , broadband switches radio instrument systems , well isolators . addition , company provides digital signal processing system products high-speed numeric calculations . serves clients industrial , automotive , consumer , instrumentation , aerospace , communications markets direct sales force , third-party distributors , independent sales representatives United States , rest North South America , Europe , Japan , China , rest Asia , well Website . Analog Devices , Inc. incorporated 1965 headquartered Wilmington , Massachusetts .",,Analog Devices Inc,ADI US,"1,769,612",240,0.36,0.98,290.82MLN,"39,441.60",11/2/2023,United States,Technology,Tech Hardware & Semiconductors,Equity,Common Stock,Common Stock,--,--,--,0.17181648313999176
"Honeywell International Inc. operates diversified technology manufacturing company worldwide . Aerospace segment offers auxiliary power units , propulsion engines , integrated avionics , environmental control electric power systems , engine controls , flight safety , communications , navigation hardware , data software applications , radar surveillance systems , aircraft lighting , advanced systems instruments , satellite space components , aircraft wheels brakes ; spare parts ; repair , overhaul , maintenance services ; thermal systems , well wireless connectivity management services . company 's Honeywell Building Technologies segment provides software applications building control optimization ; sensors , switches , control systems , instruments energy management ; access control ; video surveillance ; fire products ; installation , maintenance , upgrades systems . Performance Materials Technologies segment offers automation control , instrumentation , software related services ; catalysts adsorbents , equipment , consulting ; materials manufacture end products , bullet-resistant armor , nylon , computer chips , pharmaceutical packaging , well provides materials based hydrofluoro-olefin technology . company 's Safety Productivity Solutions segment provides personal protection equipment , apparel , gear , footwear ; gas detection technology ; cloud-based notification emergency messaging ; mobile devices software ; supply chain warehouse automation equipment , software solutions ; custom-engineered sensors , switches , controls ; data asset management productivity software solutions . company founded 1885 headquartered Charlotte , North Carolina",,Honeywell International Inc,HON US,"1,994,069",270,0.3,1.25,371.75MLN,"50,336.10",11/2/2023,United States,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--,0.17091138660907745
"Public Service Enterprise Group Incorporated , subsidiaries , operates energy company primarily Mid-Atlantic United States . company operates PSE & G PSEG Power . PSE & G segment transmits electricity ; distributes electricity gas residential , commercial , industrial customers , well invests solar generation projects , energy efficiency related programs ; offers appliance services repairs . December 31 , 2022 , electric transmission distribution system 25,000 circuit miles 864,000 poles ; 55 switching stations installed capacity 39,653 megavolt-amperes ( MVA ) , 235 substations installed capacity 9,735 MVA ; four electric distribution headquarters five electric sub-headquarters ; 18,000 miles gas mains , 12 gas distribution headquarters , two sub-headquarters , one meter shop , well 56 natural gas metering regulating stations . Public Service Enterprise Group Incorporated incorporated 1985 based Newark , New Jersey .",,Public Service Enterprise Group Inc,PEG US,"6,583,271",891,1.32,1.41,417.51MLN,"56,507.22",11/2/2023,United States,Utilities,Utilities,Equity,Common Stock,Common Stock,--,--,--,0.17053842544555664
"Bristol-Myers Squibb Company discovers , develops , licenses , manufactures , markets , distributes , sells biopharmaceutical products worldwide . offers products hematology , oncology , cardiovascular , immunology , fibrotic , neuroscience diseases . company 's products include Eliquis , oral inhibitor reduction risk stroke/systemic embolism NVAF , treatment DVT/PE ; Opdivo anti-cancer indications ; Pomalyst/Imnovid indicated patients multiple myeloma ; Orencia adult patients active RA psoriatic arthritis ; Sprycel treatment Philadelphia chromosome-positive chronic myeloid leukemia . also provides Yervoy treatment patients unresectable metastatic melanoma ; Empliciti treatment multiple myeloma ; Abecma treatment relapsed refractory multiple myeloma ; Reblozyl treatment anemia adult patients beta thalassemia ; Opdualag treatment unresectable metastatic melanoma ; Zeposia treat relapsing forms multiple sclerosis . addition , company offers Breyanzi , CD19-directed genetically modified autologous cell immunotherapy treatment adult patients relapsed refractory large B-cell lymphoma ; Onureg treatment adult patients AML ; Inrebic , oral kinase inhibitor indicated treatment myelofibrosis ; Camzyos treatment adults symptomatic obstructive HCM enhance functional capacity symptoms ; Sotyktu treatment adults moderate-to-severe plaque psoriasis ; Revlimid , oral immunomodulatory drug treatment multiple myeloma ; Abraxane , protein-bound chemotherapy product . sells products wholesalers , distributors , pharmacies , retailers , hospitals , clinics , government agencies . company formerly known Bristol-Myers Company . company founded 1887 headquartered New York , New York",,Bristol-Myers Squibb Co,BMY US,"6,613,130",897,0.33,1.14,338.13MLN,"45,863.61",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--,0.17025445401668549
"Danaher Corporation designs , manufactures , markets professional , medical , industrial , commercial products services worldwide . Biotechnology segments offers bioprocess technologies , consumables , services ; lab filtration , separation , purification ; lab-scale protein purification analytical tools ; reagents , membranes services ; healthcare filtration solutions . Life Sciences segment provides mass spectrometers ; flow cytometry , genomics , lab automation , centrifugation , particle counting characterization ; microscopes ; genomics consumables ; Gene Cell Therapy pharmaceutical biopharmaceutical , food beverage , medical , life sciences companies , well universities , medical schools research institutions , various industrial manufacturers . Diagnostics segment provides chemistry , immunoassay , microbiology , automation systems , well hematology , molecular , acute care , pathology diagnostics products . segment offers clinical instruments , reagents , consumables , software , services hospitals , physicians ' offices , reference laboratories , critical care settings . Environmental & Applied Solutions segment offers instrumentation , consumables , software , services , disinfection systems analyze , treat , manage ultra-pure , potable , industrial , waste , ground , source , ocean water residential , commercial , municipal , industrial , natural resource applications . also provides instruments , software , services , consumables various color appearance management , packaging design quality management , packaging converting , printing , marking , coding , traceability applications consumer , pharmaceutical , industrial products . company formerly known Diversified Mortgage Investors , Inc. changed name Danaher Corporation 1984 . company founded 1969 headquartered Washington , District Columbia .",,Danaher Corp,DHR US,"635,252",87,0.09,0.41,122.59MLN,"16,789.26",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--,0.17013727128505707
"Visa Inc. operates payments technology company worldwide . company operates VisaNet , transaction processing network enables authorization , clearing , settlement payment transactions . also offers credit , debit , prepaid card products ; tap pay , tokenization , click pay ; Visa Direct , real-time payments network ; Visa B2B Connect , multilateral B2B cross-border payments network ; Visa Treasury Service , cross-border consumer payments business ; Visa DPS provides range value added services , including fraud mitigation , dispute management , data analytics , campaign management , suite digital solutions , contact center services . , ; company provides Cybersource , payment management platform ; risk identity solutions , Visa Advanced Authorization , Visa Secure , Visa Advanced Identity Score , Visa Consumer Authentication Service ; Visa Consulting Analytics , payments consulting advisory services . provides services Visa , Visa Electron , Interlink , VPAY , PLUS brands . company serves consumers , merchants , financial institutions , government entities . Visa Inc. founded 1958 headquartered San Francisco , California .",,Visa Inc Class A,V US,"1,808,724",246,0.11,1.49,439.97MLN,"59,839.50",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--,0.1695418357849121
"Equinix ( Nasdaq : EQIX ) world 's digital infrastructure company . Digital leaders harness Equinix 's trusted platform bring together interconnect foundational infrastructure software speed . Equinix enables organizations access right places , partners possibilities scale agility , speed launch digital services , deliver world-class experiences multiply value , supporting sustainability goals .",,Equinix Inc,EQIX US,"341,954",45,0.36,0.88,260.98MLN,"34,343.55",11/2/2023,United States,Real Estate,Real Estate,Equity,REIT,REIT,--,--,--,0.16939735412597656
"Meta Platforms , Inc. engages development products enable people connect share friends family mobile devices , personal computers , virtual reality headsets , wearables worldwide . operates two segments , Family Apps Reality Labs . Family Apps segment offers Facebook , enables people share , discuss , discover , connect interests ; Instagram , community sharing photos , videos , private messages , well feed , stories , reels , video , live , shops ; Messenger , messaging application people connect friends , family , communities , businesses across platforms devices text , audio , video calls ; WhatsApp , messaging application used people businesses communicate transact privately . Reality Labs segment provides augmented virtual reality related products comprising consumer hardware , software , content help people feel connected , anytime , anywhere . company formerly known Facebook , Inc. changed name Meta Platforms , Inc. October 2021 . Meta Platforms , Inc. incorporated 2004 headquartered Menlo Park , California .",,Meta Platforms Inc Class A,META US,"1,223,936",165,0.06,1.28,380.48MLN,"51,293.55",11/2/2023,United States,Communications,Media,Equity,Common Stock,Common Stock,--,--,--,0.1683712899684906
"CME Group Inc. , together subsidiaries , operates contract markets trading futures options futures contracts worldwide . offers futures options products based interest rates , equity indexes , foreign exchange , agricultural commodities , energy , metals , well fixed income foreign currency trading services . company also provides clearing house services , including clearing , settling , guaranteeing futures options contracts , cleared swaps products traded exchanges ; trade processing risk mitigation services . addition , company offers range market data services , including real-time historical data services . serves professional traders , financial institutions , institutional individual investors , corporations , manufacturers , producers , governments , central banks . company formerly known Chicago Mercantile Exchange Holdings Inc. changed name CME Group Inc. July 2007 . CME Group Inc. founded 1898 headquartered Chicago , Illinois .",,CME Group Inc Class A Common Stock,CME US,"2,012,118",273,0.56,1.44,427.72MLN,"58,031.61",11/2/2023,United States,Financials,Financial Services,Equity,Common Stock,Common Stock,--,--,--,0.1668439358472824
