North,Name,Primary Exchange,Ticker,Parent Comp. Name,Fund Objective,Fund Geographical Focus,Fund Asset Class Focus,General Attribute,Tot Asset US$ (M),Expense Ratio,Avg Dvd Yield,Alpha 1Y-M,Alpha 3Y,Tot Ret 1Y,Tot Ret 3Y,Sharpe 1Y-M,Sharpe 3Y,Beta 1Y-M,Beta 3Y
Yes,FIRST TRUST TCW UNCONSTRAINE,NYSE Arca,UCON US Equity,First Trust ETFs/USA,Aggregate Bond,Global,Fixed Income,N.A.,1538.823,0.76,,4.484,-0.135,6.802,1.418,0.007,-0.522,-10.003,0.707
No,AMPLIFY LITHIUM BATTERY TECH,NYSE Arca,BATT US Equity,Amplify Investments LLC/ETF,Thematic,Global,Equity,Clean Energy,116.541,0.59,2.244,-0.012,-0.143,-14.636,-3.051,-0.493,0.066,1.023,1.01
No,GOLDMAN SACHS JUST US LRG,NYSE Arca,JUST US Equity,Goldman Sachs ETF Trust,Thematic,United States,Equity,"Socially Responsible,Environmentally Friendly",270.32,0.2,1.656,-0.003,-0.019,17.815,31.785,0.351,0.506,0.978,1
Yes,FIDELITY HI YIELD FACTOR ETF,NYSE Arca,FDHY US Equity,Fidelity ETFs/USA,Corporate,United States,Fixed Income,N.A.,257.36,0.45,,-0.044,-0.048,9.633,2.904,0.132,-0.166,1.142,1.073
No,COMM SERV SELECT SECTOR SPDR,NYSE Arca,XLC US Equity,State Street ETF/USA,Communications Sector,United States,Equity,N.A.,13860.043,0.1,1.069,0.002,-0.008,50.173,15.391,1.59,0.195,0.996,0.999
No,SPDR GOLD MINISHARES TRUST,NYSE Arca,GLDM US Equity,State Street ETF/USA,Precious Metals,Global,Commodity,N.A.,5979.735,0.1,,-0.075,-0.016,22.013,4.055,1.072,0.049,1.034,0.963
No,ALPS CLEAN ENERGY ETF,NYSE Arca,ACES US Equity,ALPS ETFs/USA,Thematic,North American Region,Equity,"Clean Energy,Environmentally Friendly",335.576,0.55,1.688,0.069,-0.004,-39.442,-43.767,-1.23,-0.297,1.011,1.004
No,ISHARES ROBOTICS & ARTIFICIA,NYSE Arca,IRBO US Equity,iShares ETFs/USA,Thematic,Global,Equity,N.A.,461.451,0.47,0.869,0.237,-0.021,30.859,-6.507,0.669,-0.095,0.869,0.948
Yes,CLEARSHARES ULTRA-SHORT MATU,NYSE Arca,OPER US Equity,ETF Series Solutions,Government,United States,Fixed Income,N.A.,230.564,0.2,,0.107,0.027,4.918,6.54,-0.326,0.062,0.741,0.943
No,FLEXSHARES HIGH YIELD VALUE,NYSE Arca,HYGV US Equity,FlexShares ETFs/USA,Corporate,United States,Fixed Income,N.A.,1270.461,0.37,,-0.185,-0.107,9.151,5.639,0.089,-0.04,1.084,1.037
Yes,WISDOMTREE US EFFICIENT CORE,NYSE Arca,NTSX US Equity,WisdomTree ETFs/USA,Moderate Allocation,United States,Mixed Allocation,N.A.,832.515,0.2,1.538,,,14.963,11.364,0.082,0.134,,
No,GLOBAL X ADAPTIVE US FACTOR,NYSE Arca,AUSF US Equity,Global X ETFs/USA,Broad Market,United States,Equity,N.A.,174.074,0.27,2.702,-0.216,-0.159,9.269,53.052,-0.248,0.9,0.979,1.009
No,DEFIANCE QUANTUM ETF,NYSE Arca,QTUM US Equity,ETF Series Solutions,Technology,Global,Equity,N.A.,171.592,0.4,1.229,-0.018,-0.039,32.305,42.945,0.776,0.53,1.007,0.999
No,AMERICAN CENTURY QLTY DIVER,NYSE Arca,QINT US Equity,American Century ETF Trust,International,International,Equity,N.A.,208.893,0.39,3.81,-0.115,-0.136,22.428,9.581,0.73,0.139,1.063,0.997
Yes,AMERICAN CENTURY DIVER MUNI,NYSE Arca,TAXF US Equity,American Century ETF Trust,Municipals,United States,Fixed Income,N.A.,344.877,0.29,,0.028,0.045,4.491,-3.99,-0.245,-0.571,1.016,1.047
No,AMERICAN CENTURY US QUALITY,NYSE Arca,QGRO US Equity,American Century ETF Trust,Large-cap,United States,Equity,N.A.,670.611,0.29,0.702,0.159,-0.035,21.216,25.658,0.503,0.377,1.04,0.981
Yes,JANUS HENDERSON MORTG BACKED,NYSE Arca,JMBS US Equity,Janus Detroit Street Trust,Mortgage-Backed,United States,Fixed Income,N.A.,2069.407,0.28,,0.03,0.055,2.846,-12.068,-0.642,-1.063,1.041,0.998
No,ISHARES IBONDS DEC 2028 ETF,NYSE Arca,IBDT US Equity,iShares ETFs/USA,Corporate,United States,Fixed Income,N.A.,1167.775,0.1,,-0.044,-0.009,6.668,-8.51,-0.034,-0.809,1.038,1.013
No,JOHN HANCOCK MULTI EM MRK ET,NYSE Arca,JHEM US Equity,John Hancock Exchange-Traded Fund Trust,Emerging Markets,International,Equity,N.A.,634.287,0.49,2.512,-0.182,-0.099,15.093,3.101,0.379,-0.022,1.046,0.986
No,LEADERSHARES ALPHAFACTOR US,NYSE Arca,LSAF US Equity,LeaderShares ETFs/USA,Large-cap,United States,Equity,N.A.,161.804,0.75,1.4,-0.071,-0.042,8.641,25.569,-0.105,0.402,0.986,0.968
No,COLUMBIA MULTI-SECTOR MUNICI,NYSE Arca,MUST US Equity,Columbia ETFs/USA,Municipals,United States,Fixed Income,N.A.,349.201,0.23,,-0.064,-0.027,3.733,-5.048,-0.296,-0.625,1.029,1.024
No,SPDR S&P KENSHO NEW ECONOMIE,NYSE Arca,KOMP US Equity,State Street ETF/USA,Thematic,Global,Equity,N.A.,1621.786,0.2,0.848,0.017,0.022,-0.99,-9.067,-0.52,-0.092,1.001,1.002
No,SPDR S&P KENSHO CLEAN POWER,NYSE Arca,CNRG US Equity,State Street ETF/USA,Thematic,Global,Equity,"Clean Energy,Environmentally Friendly",239.154,0.45,1.804,-0.07,-0.027,-23.527,-15.407,-1.094,-0.048,0.992,1
No,ISHARES ESG AWARE US AGGREGA,NYSE Arca,EAGG US Equity,iShares ETFs/USA,Aggregate Bond,United States,Fixed Income,ESG,3287.918,0.1,,-0.006,0.016,2.879,-14.15,-0.57,-1.149,1.066,1.042
Yes,DISTILLATE US FUNDAMENTAL ST,NYSE Arca,DSTL US Equity,ETF Series Solutions/Distillate Capital,Large-cap,United States,Equity,N.A.,1287.455,0.39,1.967,-0.053,0.193,16.889,40.935,0.359,0.671,1.003,0.968
No,AMPLIFY BLACKSWAN GROWTH TSY,NYSE Arca,SWAN US Equity,Amplify Investments LLC/ETF,N.A.,United States,Alternative,Capital Protection Fund,189.821,0.49,,-0.035,-0.047,2.801,-14.116,-0.538,-0.535,1.055,1.018
Yes,FIRST TRUST SHORT DUR MANAG,NYSE Arca,FSMB US Equity,First Trust ETFs/USA,Municipals,United States,Fixed Income,N.A.,395.033,0.35,,,,2.541,-0.776,-0.886,-0.89,,
Yes,FIRST TRUST ULTRA SHORT DUR,NYSE Arca,FUMB US Equity,First Trust ETFs/USA,Municipals,United States,Fixed Income,N.A.,260.46,0.25,,,,2.943,2.857,-3.152,-1.542,,
No,XTRACKERS EMERG MARK CARB RE,NYSE Arca,EMCR US Equity,DWS Xtrackers ETFs/USA,Emerging Markets,International,Equity,ESG,477.626,0.15,1.918,-0.076,0.301,15.106,0.98,0.398,-0.037,1.052,0.977
No,SCOTIA INTERNATIONAL EQUITY,NEO Exchange NEO-L,SITI CN Equity,1832 Asset Management LP,International,International,Equity,N.A.,178.031,,3.318,-0.041,,20.249,26.936,0.85,,1.072,
No,SCOTIA US EQUITY INDEX TRACK,NEO Exchange NEO-L,SITU CN Equity,1832 Asset Management LP,US,United States,Equity,N.A.,468.195,,1.518,0.101,,18.643,,0.712,,0.877,
Yes,RBC CANADIAN DISCOUNT BOND,NEO Exchange NEO-L,RCDB CN Equity,RBC Global Asset Management ETFs/Canada,Aggregate Bond,Canada,Fixed Income,N.A.,723.988,0.16,,0.086,0.017,4.167,-1.373,-0.866,-1.351,0.852,0.92
No,BMO LONG TERM US TRE-CAD HDG,NEO Exchange NEO-L,ZTL/F CN Equity,BMO ETFs/Canada,Government,United States,Fixed Income,N.A.,347.927,0.23,,0.037,0.019,-7.017,-41.541,-0.854,-1.324,0.998,1.006
No,ISHARES US FUNDAMEN-NON HEDG,NEO Exchange NEO-L,CLU/C CN Equity,iShares ETFs/Canada,US,United States,Equity,N.A.,129.151,0.72,2.44,0.155,0.387,7.261,50.54,-0.164,0.931,0.636,0.708
No,MACKENZIE CANADIAN ALL CORP,NEO Exchange NEO-L,QCB CN Equity,Mackenzie Investments ETFs/Canada,Corporate,Canada,Fixed Income,N.A.,286.738,0.15,,0.006,,5.189,-6.632,-0.364,-0.989,0.969,
No,HIGH INTEREST SAVINGS ACCOUN,NEO Exchange NEO-L,HISA CN Equity,Evolve ETFs/Canada,N.A.,Canada,Money Market,N.A.,1276.326,0.17,,,,5.002,7.428,-1.188,-0.251,,
No,VANGUARD US AGGREGATE BOND I,NEO Exchange NEO-L,VBU CN Equity,Vanguard ETFs/Canada,Aggregate Bond,United States,Fixed Income,N.A.,647.858,0.22,,-0.028,-0.004,1.942,-15.441,-0.726,-1.307,1.042,1.022
No,FRANKLIN INTERNATIONAL EQUIT,NEO Exchange NEO-L,FLUR CN Equity,Franklin LibertyShares ETFs Canada/Fund Parent,International,International,Equity,N.A.,141.663,0.1,3.411,-0.009,-0.022,21.495,22.933,0.878,0.403,1.086,1.166
No,FRANKLIN FTSE US INDEX ETF,NEO Exchange NEO-L,FLAM CN Equity,Franklin LibertyShares ETFs Canada/Fund Parent,US,United States,Equity,N.A.,166.813,0.08,1.564,0.093,0.029,18.355,37.065,0.671,0.663,0.9,0.976
No,ISHARES US FUNDAMENTAL INDEX,NEO Exchange NEO-L,CLU CN Equity,iShares ETFs/Canada,US,United States,Equity,N.A.,129.151,0.72,2.44,-0.093,-0.071,6.841,38.404,-0.277,0.603,0.956,1.012
No,BMO LONG-TERM US TREASURY BO,NEO Exchange NEO-L,ZTL/U CN Equity,BMO ETFs/Canada,Government,United States,Fixed Income,N.A.,347.927,0.23,,0.054,-0.007,-6.039,-40.863,-0.772,-1.286,1.019,1.006
Yes,PURPOSE TACTICAL ASSET ALLOC,NEO Exchange NEO-L,RTA CN Equity,Purpose Investments Inc ETFs/Canada,Dynamic Allocation,North American Region,Mixed Allocation,N.A.,176.845,0.75,1.394,,,5.455,11.951,-0.393,0.147,,
No,FRANKLIN FTSE CANADA ALL CAP,NEO Exchange NEO-L,FLCD CN Equity,Franklin LibertyShares ETFs Canada/Fund Parent,Broad Market,Canada,Equity,N.A.,129.618,0.06,3.411,-0.012,-0.003,6.917,37.792,-0.237,0.63,0.988,1
No,BMO LONG-TERM US TREASURY BO,NEO Exchange NEO-L,ZTL CN Equity,BMO ETFs/Canada,Government,United States,Fixed Income,N.A.,347.927,0.22,,-0.013,0.009,-6.516,-38.449,-0.903,-1.295,0.945,1.002
No,NINEPOINT HIGH INTEREST SAVI,NEO Exchange NEO-L,NSAV CN Equity,Sprott Asset Management LP,Aggregate Bond,Canada,Fixed Income,N.A.,413.907,,,,,5.023,,-1.086,,,
No,VANGUARD GLOBAL EX-US AGGREG,NEO Exchange NEO-L,VBG CN Equity,Vanguard ETFs/Canada,Aggregate Bond,Global,Fixed Income,N.A.,480.09,0.38,,-0.098,-0.043,1.954,-13.664,-0.815,-1.354,1.112,1.042
No,SCOTIA CANADIAN BOND INDEX T,NEO Exchange NEO-L,SITB CN Equity,1832 Asset Management LP,Aggregate Bond,Canada,Fixed Income,N.A.,233.119,,,-0.008,,2.569,,-0.85,,0.916,
No,ISHARES GLOBAL GOVERNMENT BO,NEO Exchange NEO-L,XGGB CN Equity,iShares ETFs/Canada,Government,Global,Fixed Income,N.A.,219.681,0.22,,-0.03,0.005,0.227,-14.607,-1.014,-1.489,1.055,1.015
Yes,MACKENZIE GLOBAL HIGH YIELD,NEO Exchange NEO-L,MHYB CN Equity,Mackenzie Investments ETFs/Canada,Aggregate Bond,Global,Fixed Income,N.A.,181.973,0.66,0.002,,,6.735,0.303,-0.001,-0.394,,
Yes,FIDELITY ALL IN ONE GROWTH,NEO Exchange NEO-L,FGRO CN Equity,Fidelity ETFs/Canada,Aggressive Allocation,Global,Mixed Allocation,N.A.,118.455,,2.75,,,13.258,,0.469,,,
Yes,FIDELITY ALL IN ONE BALANCED,NEO Exchange NEO-L,FBAL CN Equity,Fidelity ETFs/Canada,Moderate Allocation,Global,Mixed Allocation,N.A.,266.465,,1.727,,,10.361,,0.235,,,
No,WEALTHSIMPLE SHARIAH WORLD,NEO Exchange NEO-L,WSHR CN Equity,Mackenzie Investments ETFs/Canada,Broad Market,N.A.,Equity,Religiously Responsible,127.19,0.53,2.434,-0.046,,14.221,,0.459,,0.965,
Yes,NINEPOINT ENERGY FUND,NEO Exchange NEO-L,NNRG CN Equity,Sprott Asset Management LP,Energy,Global,Equity,N.A.,1491.705,,3.794,-0.24,,0.866,,-0.01,,1.024,
Yes,AGF SYSTEMATIC GLOBAL INFRAS,NEO Exchange NEO-L,QIF CN Equity,AGF Investments Inc ETFs/Canada,Thematic,Global,Equity,N.A.,156.163,0.45,4.469,0.11,0.012,4.616,20.258,-0.281,0.346,0.859,0.899
No,CI CANADIAN EQUITY INDEX ETF,NEO Exchange NEO-L,CCDN CN Equity,CI Investments Inc/Canada,Broad Market,Canada,Equity,N.A.,107.555,,3.552,-0.011,,6.706,,-0.25,,0.982,
No,CI US 500 INDEX ETF,NEO Exchange NEO-L,CUSA/B CN Equity,CI Investments Inc/Canada,US,United States,Equity,N.A.,103.239,,1.611,0.096,,18.591,,0.704,,0.875,
Yes,MACKENZIE GLOBAL SUSTAINABLE,NEO Exchange NEO-L,MGSB CN Equity,Mackenzie Investments ETFs/Canada,Corporate,Global,Fixed Income,ESG,130.577,,,,,5.28,,-0.334,,,
No,WEALTHSIMPLE NT AME GR BD ID,NEO Exchange NEO-L,WSGB CN Equity,Mackenzie Investments ETFs/Canada,Aggregate Bond,North American Region,Fixed Income,ESG,146.199,,,-0.055,,2.592,,-0.699,,1.084,
Yes,NINEPOINT DIVERSIFIED BOND,NEO Exchange NEO-L,NBND CN Equity,Sprott Asset Management LP,Aggregate Bond,Global,Fixed Income,N.A.,166.135,,,,,1.954,,-1.465,,,
Yes,FIDELITY SUSTAIN WORLD ETF,NEO Exchange NEO-L,FCSW CN Equity,Fidelity ETFs/Canada,Global,Global,Equity,ESG,103.631,0.62,1.745,,,18.743,29.061,0.79,0.557,,
Yes,NINEPOINT ENERGY FUND - U,NEO Exchange NEO-L,NNRG/U CN Equity,Sprott Asset Management LP,Energy,Global,Equity,N.A.,1491.705,,3.794,,,3.759,,-0.066,,,
Yes,NINEPOINT ENERGY INCOME,NEO Exchange NEO-L,NRGI CN Equity,Sprott Asset Management LP,Energy,Canada,Equity,N.A.,215.234,,8.257,,,4.146,,0.018,,,
No,INVESCO LONG TERM GOVERNMENT,NEO Exchange NEO-L,PGL CN Equity,Invesco Canada ETFs/Canada,Government,Canada,Fixed Income,N.A.,238.077,0.26,,-0.038,-0.051,1.198,-26.845,-0.73,-1.091,0.962,0.97
No,MACKENZIE US TIPS INDEX ETF,NEO Exchange NEO-L,QTIP CN Equity,Mackenzie Investments ETFs/Canada,Inflation Protected,United States,Fixed Income,N.A.,288.59,0.17,,0.027,-0.014,1.223,-5.84,-1.015,-0.67,1.158,1.01
Yes,BMO GLBL INFRA FUND,NEO Exchange NEO-L,BGIF CN Equity,BMO Investments Inc/Canada,Thematic Sector,Global,Equity,N.A.,141.059,,3.371,,,,,,,,
Yes,BMO GLOBAL EQUITY FUND,NEO Exchange NEO-L,BGEQ CN Equity,BMO Investments Inc/Canada,Global,Global,Equity,N.A.,1581.644,,1.896,,,,,,,,
No,FIRST TRUST NASDAQ SEMICONDU,NASDAQ GM,FTXL US Equity,First Trust ETFs/USA,Technology,United States,Equity,N.A.,1030.192,0.6,1.574,-0.014,-0.014,41.71,38.425,0.888,0.417,0.998,0.991
No,GLOBAL X ART INTEL & TECH,NASDAQ GM,AIQ US Equity,Global X ETFs/USA,Thematic,Global,Equity,N.A.,656.046,0.68,0.967,-0.082,-0.037,47.666,17.779,1.272,0.226,1.016,1.012
No,FIRST TRUST NASDAQ OIL & GAS,NASDAQ GM,FTXN US Equity,First Trust ETFs/USA,Energy,United States,Equity,N.A.,270.597,0.6,3.184,0.007,0.009,1.007,245.14,-0.166,1.666,0.996,1.005
No,INVESCO BULLETSHARES 2025 HI,NASDAQ GM,BSJP US Equity,Invesco ETFs/USA,Corporate,United States,Fixed Income,N.A.,1005.603,0.42,,-0.107,-0.085,9.472,11.116,0.692,0.262,1.061,1.047
No,ISHARES ESG ADVANCE MSCI USA,NASDAQ GM,USXF US Equity,iShares ETFs/USA,Large-cap,United States,Equity,ESG,707.462,0.1,1.394,0.025,0.002,24.816,30.21,0.694,0.463,0.975,0.983
No,ISHARES IBONDS DEC 2026 TERM,NASDAQ GM,IBTG US Equity,iShares ETFs/USA,Government,United States,Fixed Income,N.A.,479.928,0.07,,0,-0.013,4.269,-8.623,-0.456,-1.35,1.006,0.991
No,VANECK SEMICONDUCTOR ETF,NASDAQ GM,SMH US Equity,VanEck ETFs/USA,Technology,United States,Equity,N.A.,9657.029,0.35,1.213,-0.019,-0.013,65.369,70.142,1.448,0.659,1.004,1.003
No,INVESCO DORSEY WRIGHT DEVELO,NASDAQ GM,PIZ US Equity,Invesco ETFs/USA,International,International,Equity,N.A.,111.618,0.8,2.628,-0.013,-0.027,14.007,-2.461,0.261,-0.033,1.077,1.012
No,INVESCO NASDAQ INTERNET ETF,NASDAQ GM,PNQI US Equity,Invesco ETFs/USA,Technology,United States,Equity,N.A.,564.913,0.6,0.145,-0.063,-0.053,48.828,-23.034,1.111,-0.342,1.002,1.001
Yes,FIRST TRUST TCW OPP FIXED IN,NASDAQ GM,FIXD US Equity,First Trust ETFs/USA,Aggregate Bond,Global,Fixed Income,N.A.,4396.31,0.65,,-0.012,-0.01,3.457,-15.612,-0.543,-1.171,1.136,1.109
No,FIRST TRUST DORSEYWRIGHT DAL,NASDAQ GM,DALI US Equity,First Trust ETFs/USA,Broad Market,United States,Equity,N.A.,140.947,0.92,,-0.061,-0.079,-6.663,27.269,-0.553,0.468,1.015,0.953
Yes,PRINCIPAL U.S. SMALL-CAP ETF,NASDAQ GM,PSC US Equity,Principal ETFs/USA,Small-cap,United States,Equity,N.A.,318.749,0.38,1.711,,,3.869,41.022,-0.397,0.576,,
No,ISHARES 7-10 YEAR TREASURY B,NASDAQ GM,IEF US Equity,iShares ETFs/USA,Government,United States,Fixed Income,N.A.,27569.51,0.15,,-0.001,0.002,0.629,-19.521,-0.808,-1.266,1.033,1.013
No,GLOBAL X INTERNET OF THINGS,NASDAQ GM,SNSR US Equity,Global X ETFs/USA,Thematic,Global,Equity,N.A.,266.362,0.68,1.33,-0.015,-0.038,13.559,12.812,0.084,0.184,1.032,1.011
No,FLEXSHARES CREDIT-SCORED US,NASDAQ GM,SKOR US Equity,FlexShares ETFs/USA,Corporate,United States,Fixed Income,N.A.,277.723,0.22,,-0.067,-0.031,5.866,-7.39,-0.148,-0.903,1.08,1.065
No,GLOBAL X FINTECH ETF,NASDAQ GM,FINX US Equity,Global X ETFs/USA,Thematic,Global,Equity,N.A.,319.572,0.68,0.631,-0.04,-0.04,3.787,-43.752,-0.482,-0.522,0.989,0.998
No,INVESCO DORSEY WRIGHT MOMENT,NASDAQ GM,PDP US Equity,Invesco ETFs/USA,Large-cap,United States,Equity,N.A.,1020.611,0.62,0.771,-0.058,-0.04,7.64,-0.196,-0.276,-0.024,1.004,1.011
No,INVESCO NASDAQ 100 ETF,NASDAQ GM,QQQM US Equity,Invesco ETFs/USA,Large-cap,United States,Equity,N.A.,14579.07,0.15,0.86,-0.021,-0.017,42.186,35.92,1.171,0.468,1.002,1.001
No,ISHARES MSCI ACWI ETF,NASDAQ GM,ACWI US Equity,iShares ETFs/USA,Global,Global,Equity,N.A.,17187.379,0.32,2.149,-0.02,-0.001,18.696,22.885,0.435,0.356,1.049,1.005
No,VANECK BIOTECH ETF,NASDAQ GM,BBH US Equity,VanEck ETFs/USA,Health Care,United States,Equity,N.A.,426.537,0.35,0.889,-0.006,-0.002,-2.427,-1.088,-0.694,-0.069,1.017,1.007
No,INVESCO DORSEY WRIGHT HEALTH,NASDAQ GM,PTH US Equity,Invesco ETFs/USA,Health Care,United States,Equity,N.A.,116.842,0.68,0.109,-0.053,-0.044,-21.628,-32.642,-1.878,-0.639,0.996,1.003
Yes,FIRST TRUST ALT ABS RET ETF,NASDAQ GM,FAAR US Equity,First Trust ETFs/USA,N.A.,United States,Commodity,N.A.,165.536,0.95,,-0.535,0.067,-5.665,24.457,-1.659,0.601,-0.112,0.454
No,FIRST TRUST LARGE CAP GROWTH,NASDAQ GM,FTC US Equity,First Trust ETFs/USA,Large-cap,United States,Equity,N.A.,944.246,0.59,1.057,-0.021,-0.017,7.751,17.079,-0.209,0.23,1.029,1.007
No,FIRST TRUST EMERGING MARKETS,NASDAQ GM,FEMS US Equity,First Trust ETFs/USA,Emerging Markets,International,Equity,N.A.,292.739,0.8,5.284,-0.312,-0.121,12.931,30.184,0.399,0.426,1.087,1.017
No,ISHARES MSCI JAPAN VALUE ETF,NASDAQ GM,EWJV US Equity,iShares ETFs/USA,Japan,Japan,Equity,N.A.,253.03,0.15,2.966,0.096,0.049,34.673,32.461,1.66,0.584,1.054,0.987
No,GLOBAL X VIDEO GAMES& ESPORT,NASDAQ GM,HERO US Equity,Global X ETFs/USA,Thematic,Global,Equity,N.A.,132.946,0.5,1.003,0.036,0.005,11.413,-27.716,0.047,-0.543,1.054,1.017
No,GLOBAL X CYBERSECURITY ETF,NASDAQ GM,BUG US Equity,Global X ETFs/USA,Thematic,Global,Equity,N.A.,583.478,0.51,0.358,-0.059,-0.054,9.206,15.047,-0.391,0.221,1.006,0.997
No,GLOBAL X ROBOTICS & ARTIFICI,NASDAQ GM,BOTZ US Equity,Global X ETFs/USA,Thematic,Global,Equity,N.A.,1997.252,0.69,0.772,0.024,-0.031,29.814,-14.162,0.551,-0.156,1.044,1.006
No,VANGUARD SHORT-TERM TREASURY,NASDAQ GM,VGSH US Equity,Vanguard ETF/USA,Government,United States,Fixed Income,N.A.,22329.311,0.04,,-0.004,-0.002,3.689,-1.936,-0.917,-1.479,1.017,1
No,INVESCO BULLETSHARES 2027 HI,NASDAQ GM,BSJR US Equity,Invesco ETFs/USA,Corporate,United States,Fixed Income,N.A.,119.964,0.42,,-0.049,-0.057,10.431,3.352,0.299,-0.126,1.131,1.076
No,INVESCO GOLDEN DRAGON CHINA,NASDAQ GM,PGJ US Equity,Invesco ETFs/USA,China,China,Equity,N.A.,159.112,0.7,0.744,-0.014,-0.011,29.028,-50.98,0.839,-0.357,0.999,1
No,FIRST TRUST LARGE CAP CORE A,NASDAQ GM,FEX US Equity,First Trust ETFs/USA,Large-cap,United States,Equity,N.A.,1022.496,0.59,2.079,-0.003,-0.001,6.279,30.206,-0.257,0.464,0.993,0.996
No,INVESCO GLOBAL WATER ETF,NASDAQ GM,PIO US Equity,Invesco ETFs/USA,Thematic,Global,Equity,ESG,241.831,0.75,1.842,-0.098,-0.073,14.312,7.431,0.055,0.089,1.055,1.012
No,ISHARES GNMA BOND ETF,NASDAQ GM,GNMA US Equity,iShares ETFs/USA,Mortgage-Backed,United States,Fixed Income,N.A.,321.738,0.1,,-0.021,-0.003,2.039,-12.99,-0.761,-1.138,1.024,1.023
No,ISHARES BIOTECHNOLOGY ETF,NASDAQ GM,IBB US Equity,iShares ETFs/USA,Health Care,United States,Equity,N.A.,6521.1,0.45,0.683,,-0.972,-6.189,-9.034,-1.054,-0.253,,1.02
No,VANECK RETAIL ETF,NASDAQ GM,RTH US Equity,VanEck ETFs/USA,Consumer Discretionary,United States,Equity,N.A.,166.074,0.35,1.367,0.006,0.003,11.401,18.325,0.036,0.321,0.991,1.003
No,GLOBAL X SUPERDIVIDEND REIT,NASDAQ GM,SRET US Equity,Global X ETFs/USA,Real Estate,Global,Equity,N.A.,230.889,0.59,8.155,-0.003,-0.045,2.551,4.077,-0.492,0.029,1.013,0.992
No,FIRST TRUST EUROPE,NASDAQ GM,FEP US Equity,First Trust ETFs/USA,European Region,European Region,Equity,N.A.,210.365,0.8,4.687,-0.083,-0.051,18.846,10.447,0.439,0.175,1.04,1.002
No,INDEXIQ ETF TRUST IQ U.S. LA,NASDAQ GM,CLRG US Equity,IndexIQ ETF Trust,Large-cap,United States,Equity,N.A.,223.822,0.25,2.05,-0.011,0.029,10.263,33.648,-0.108,0.58,0.987,0.959
Yes,FIRST TRUST LOW DURATION OPP,NASDAQ GM,LMBS US Equity,First Trust ETFs/USA,Mortgage-Backed,United States,Fixed Income,N.A.,3852.03,0.66,,0.167,0.033,4.477,-1.251,-0.575,-1.283,0.607,0.636
No,ISHARES BROAD USD INVESTMENT,NASDAQ GM,USIG US Equity,iShares ETFs/USA,Corporate,United States,Fixed Income,N.A.,9155.248,0.04,,-0.041,0.023,5.695,-12.979,-0.162,-0.832,1.101,1.062
No,ISHARES 1-3 YEAR TREASURY BO,NASDAQ GM,SHY US Equity,iShares ETFs/USA,Government,United States,Fixed Income,N.A.,27295.35,0.15,,-0.012,-0.007,3.65,-2.121,-0.96,-1.508,1.02,1.007
No,GLOBAL X CONSCIOUS COMPANIES,NASDAQ GM,KRMA US Equity,Global X ETFs/USA,Thematic,United States,Equity,ESG,541.013,0.43,1.514,0.003,-0.015,14.391,27.09,0.118,0.42,0.974,1.012
No,FIRST TRUST MULTI CAP VALUE,NASDAQ GM,FAB US Equity,First Trust ETFs/USA,Broad Market,United States,Equity,N.A.,154.837,0.69,2.983,0.012,0.01,8.806,46.96,-0.118,0.651,0.999,1.002
Yes,FIRST TRUST EMERGING MARKETS,NASDAQ GM,FEMB US Equity,First Trust ETFs/USA,Government,International,Fixed Income,N.A.,130.523,0.85,,0.272,0.114,20.953,-4.547,0.842,-0.327,1.141,1.163
No,ISH MSCI GLOB SUST DEVE GOAL,NASDAQ GM,SDG US Equity,iShares ETFs/USA,Global,Global,Equity,"Socially Responsible,Environmentally Friendly",329.714,0.49,2.657,-0.006,-0.022,6.835,-1.564,-0.114,-0.105,1.058,0.987
No,VANGUARD INTERMEDIATE-TERM T,NASDAQ GM,VGIT US Equity,Vanguard ETF/USA,Government,United States,Fixed Income,N.A.,20416.109,0.04,,-0.004,-0.001,2.557,-12.465,-0.732,-1.312,1.017,0.999
No,VICTORYSHARES US SMALL CAP H,NASDAQ GM,CSB US Equity,Victory Portfolios II,Small-cap,United States,Equity,N.A.,323.324,0.35,4.553,-0.065,-0.048,2.161,35.497,-0.537,0.485,0.996,1.009
No,INVESCO FTSE RAFI US 1500 SM,NASDAQ GM,PRFZ US Equity,Invesco ETFs/USA,Mid-cap,United States,Equity,N.A.,1948.211,0.4,1.991,-0.011,-0.019,4.449,35.54,-0.34,0.479,0.999,1.004
No,ISHARES MSCI NEW ZEALAND ETF,NASDAQ GM,ENZL US Equity,iShares ETFs/USA,New Zealand,New Zealand,Equity,N.A.,110.607,0.5,4.256,0.024,-0.016,5.047,-21.786,-0.291,-0.443,1.077,1.022
No,ISHARES IBONDS DEC 2025 TERM,NASDAQ GM,IBTF US Equity,iShares ETFs/USA,Government,United States,Fixed Income,N.A.,1543.825,0.07,,0,,4.134,-5.971,-0.589,-1.439,0.998,
No,ISHARES MSCI EUROPE FINANCIA,NASDAQ GM,EUFN US Equity,iShares ETFs/USA,Financial,European Region,Equity,N.A.,1145.148,0.49,4.984,0.004,-0.001,30.22,51.401,0.937,0.653,1.022,1.018
No,ISHARES MSCI GLOBAL GOLD MIN,NASDAQ GM,RING US Equity,iShares ETFs/USA,Materials,Global,Equity,N.A.,386.578,0.39,2.407,-0.075,-0.004,37.197,-25.063,0.63,-0.212,1.022,1.009
